Record_Type;VME_Type;VME_Group;VME_Indicator_Species;Latitude;Longitude
PotentialVME_Visual_Record;Bryozoa_PotentialVME_Visual;Bryozoan_patches;Bryozoans;-29.7714;31.18787
PotentialVME_Visual_Record;Sclerothamnus_PotentialVME_Visual;Glass_sponge_grounds;Sclerothamnus. Pheronema- needs analysis wide depth range;-27.52345;32.71852
PotentialVME_Visual_Record;Sclerothamnus_PotentialVME_Visual;Glass_sponge_grounds;Sclerothamnus;-27.52306;32.72009
PotentialVME_Visual_Record;Sclerothamnus_PotentialVME_Visual;Glass_sponge_grounds;Sclerothamnus;-27.622167;32.679333
PotentialVME_Visual_Record;Sclerothamnus_PotentialVME_Visual;Glass_sponge_grounds;Sclerothamnus;-27.831333;32.6425
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;"Lace corals; Seafans; Sponges";-33.11613;17.18323833
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;"Stylasterids; Seafans";-32.512115;17.90788167
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;"Stylasterids; Seafans";-32.60056833;17.79112333
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;Stylasterids;-32.772865;17.55725
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;Stylaster (>100). seafans. thistles. sponges. bamboo;-33.65274;27.498833
PotentialVME_Visual_Record;Stylasterine_PotentialVME_Visual;Lace_coral_gardens;Stylaster. seafans;-33.10357;28.08641
PotentialVME_Visual_Record;Canyon_Margin_PotentialVME_Visual;Mixed_VME;"Stylaster; Narella; Seafans; Bryozoans";-33.42601;27.63936
PotentialVME_Visual_Record;Canyon_Margin_PotentialVME_Visual;Mixed_VME;Glass sponges. Stlaster - needs analysis OOT;-33.40299;27.71424
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Sunset Gorgonian; Stylaster-analysis needed";-34.22651667;24.83321667
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;Leptogorgia. Melithea. black corals;-33.912833;26.877733
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Stylaster; Seafans";-34.00165;25.85726667
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Stylasters; Melithea. Leptogorgia. sponges";-34.00165;25.85621667
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;Sponges. seafans;-33.98976667;25.90443333
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Lace corals; Seafans; Sponges; Soft corals; Bryozoans";-34.01786667;25.88348333
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Sea fans; Bryozoans";-34.0628;25.70968333
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Stylasters; Melithea. Leptogorgia";-34.01378333;25.86495
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Stylasters; Seafans; Sponges";-34.01211667;25.8588
PotentialVME_Visual_Record;MesophoticReef_PotentialVME_Visual;Mixed_VME;"Stylasters; Seafans; Sponges";-34.01593333;25.8663
PotentialVME_Visual_Record;Canyon_Margin_PotentialVME_Visual;Mixed_VME;Nicella dichotoma. black corals. other seafans;-27.52645;32.71845
PotentialVME_Visual_Record;Canyon_Margin_PotentialVME_Visual;Mixed_VME;Nicella dichotoma. black corals. other seafans;-27.52355;32.71737
PotentialVME_Visual_Record;Canyon_Margin_PotentialVME_Visual;Mixed_VME;Nicella dichotoma. black corals. other seafans;-27.52667;32.71834
