Record_Type;VME_Type;VME_Group;VME_Indicator_Species;Latitude;Longitude
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-31.90307;16.79582
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-31.53938;16.3875
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.22987;15.84185
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.08315;15.56982
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-34.98083;21.61435
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-34.98083;21.61435
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-34.9582;20.45685
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.3801;15.735
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.2306;15.8417
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-33.3937;17.7105
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-29.8747;15.191
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.884;15.9663
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-31.014;16.4498
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.53573;16.20253
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.62922;16.26833
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.79868;16.57722
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-31.23218;16.48365
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.26447;15.9767
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.18348;15.35617
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.06883;15.09075
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-29.75245;15.27228
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-35.63325;21.54878
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-29.9915657;15.47621632
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.16428375;15.82313347
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.88573265;16.56938362
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-30.98633385;16.23046684
VME_Indicator_Record;Adeonella_VME_Indicator;Bryozoan_patches;Adeonella_spp.;-31.91376686;16.7730999
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.33123;20.9979
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-34.5855;22.6182
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-35.63325;21.54878
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-35.61633;21.93422
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-34.2433;25.62268
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-35.6555;22.0363
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.0542;21.3792
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.04393;21.36567
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.20702;21.21182
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.3684;21.04727
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-36.33202;20.99757
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-35.95832;20.55803
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-34.42473;22.95377
VME_Indicator_Record;Aspidostoma_VME_Indicator;Bryozoan_patches;Aspidostoma_sp._1;-34.42473;22.95377
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.72607;15.15013
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-31.15458;16.88317
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.33123;20.9979
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.4229;22.88298
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.40685;23.1255
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.9582;20.45685
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.56583;21.54538
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.8042;21.3177
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-33.7492;26.6978
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-33.9257;26.4948
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2412;25.6342
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.3183;23.3112
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2625;23.0728
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.6312;22.7603
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.8747;15.191
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.6218;16.2842
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.61583;18.923
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.62922;16.26833
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-31.07537;16.08455
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.2792;16.37547
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.75245;15.27228
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.87483;15.4575
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.234;15.86017
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.3375;21.0035
