Record_Type;VME_Type;VME_Group;VME_Indicator_Species;Latitude;Longitude
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema. narella and other seafans;-27.4963;32.72562
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.497;32.72568
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.49702;32.72567
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.49674;32.72563
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema. narella.  seafan. other seafans;-27.49656;32.72559
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.50126;32.72505
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Sclerothamnus. Pheronema. Stylasterine;-27.52288;32.72117
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.49667;32.72576
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.49666;32.7256
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.49671;32.72572
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.523333;32.721167
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema and Sclerothamnus;-27.490833;32.721333
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Large sponge aggregation. Phero. Scleothamnus;-27.524167;32.718833
VME_Visual_Record;Pheronema_VME_Visual;Glass_sponge_grounds;Pheronema;-27.496333;32.724667
VME_Visual_Record;Sclerothamnus_VME_Visual;Glass_sponge_grounds;Sclerothamnus. Anthomsatis;-27.9474;32.62114
VME_Visual_Record;Lace_VME_Visual_external;Lace_coral_gardens;"""Coral Walls""= Overhanging lace Coral (Stylasteridae sp)";-35.5393;22.49486
VME_Visual_Record;Lace_VME_Visual_external;Lace_coral_gardens;"""Coral Walls""= Overhanging lace Coral (Stylasteridae sp)";-35.3326;22.69867
VME_Visual_Record;Lace_VME_Visual_external;Lace_coral_gardens;"""Coral Walls""= Overhanging lace Coral (Stylasteridae sp)";-35.4599;22.52883
VME_Visual_Record;Lace_VME_Visual_external;Lace_coral_gardens;"""Coral Walls""= Overhanging lace Coral (Stylasteridae sp)";-35.2146;22.78334
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Definitely a VME. Stlaster. sponges. stony corals;-33.00588;28.32293
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Lace corals. Seafans. Citsa wall;-32.9792;28.32948
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Lace corals. Seafans;-32.97928;28.32867
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Lace corals. Seafans;-32.97872;28.32863
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;>100 Stylaster. large sponges. many rays;-33.920383;27.115967
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. glass sponges;-34.80455;24.654167
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. Inferiolabiata. Narella. Bryozoans;-33.43361;27.61879
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. Purple-Yellow Gorgonians;-33.12087;28.13348
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. Purple-Yellow Gorgonians;-33.07942;28.20046
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. Purple-Yellow Gorgonians. Black corals;-33.03915;28.23944
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Stylaster. Purple-Yellow Gorgonians. Black corals;-33.00495;28.28113
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Thouarella.Lace corals.Seafans;-32.99841;28.3254
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Enallopsammia. Lace corals. Other corals. Seafans;-32.99044;28.33346
VME_Visual_Record;Stylaster_VME_Visual;Lace_coral_gardens;Thouarella. Lace corals. Other corals. Dendropyllidae;-32.97141;28.34323
VME_Visual_Record;Canyon_VME_Visual;Mixed_VME;Thouarella;-33.29095;27.91695
VME_Visual_Record;Canyon_Margin_VME_Visual;Mixed_VME;Thouarella;-33.29153;27.91677
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Seafans. bryozoans. sponges;-33.32843;27.81937
VME_Visual_Record;Slope_VME_Visual;Mixed_VME;Thouarella. Narella. Stylaster. bryozoans;-33.1263;28.17875
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Multiple VME taxa. sponges;-27.51517;32.71496
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Dendrophyllid (cigarette) corals. Pheronema. glass sponges ;-30.64278;30.67408
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Dendrophyllid (cigarette) corals. Pheronema. glass sponges ;-30.64299;30.67395
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;na;-30.660783;30.673833
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Nicella. Whale tale. other seafans. glass sponges. pheronema;-27.40811;32.75416
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Stycopathy Black corals. Nicella;-27.52638;32.71866
VME_Visual_Record;MesophoticReef_VME_Visual;Mixed_VME;Scleronthamus. Disticiopora. Pheronema ;-27.52308;32.72022
VME_Visual_Record;Canyon_VME_Visual;Mixed_VME;Black corals. Sea whips. Seafans. Thouarella. Cigarette corals;-33.27987;27.9237
VME_Visual_Record;Canyon_VME_Visual;Mixed_VME;Cigarette corals;-33.2887;27.90753
VME_Visual_Record;Cavernularia_VME_Visual;Seapen_fields;>100 Cavernularia;-32.26008667;18.07551167
VME_Visual_Record;Cavernularia_VME_Visual;Seapen_fields;Cavernularia. needs analysis;-32.26274833;17.97694833
VME_Visual_Record;Cavernularia_VME_Visual;Seapen_fields;>100 Cavernularia;-32.34610667;17.97965167
